Year;Access to electricity (% of population);Computer, communications and other services (% of commercial service imports);Fixed broadband subscriptions;GDP (current US$);GDP per capita (current US$);GNI (current US$);Individuals using the Internet (% of population);Mobile cellular subscriptions;Population, female;Population, male;Secure Internet servers;Urban population (% of total population);Internet Users
2005;96,7;27,8896323335301;927000,0;198737095012,282;5067,65342293276;176153368006,277;17,7206;22200000,0;19874795,0;19341994,0;;90,031;6949450,311534
2006;97,0;32,196828832102;1580000,0;232557260817,308;5869,38028970204;224897476611,227;20,9272;31500000,0;20074295,0;19547820,0;;90,2;8291799,250279999
2007;97,2;31,7483577923643;2600000,0;287530508430,568;7185,25155147027;279994211725,862;25,9466;40400000,0;20266488,0;19750275,0;;90,366;10382989,428558
2008;97,5;32,8762153224098;3110000,0;361558037110,419;8944,1102657357;352615480862,974;28,1126;46500000,0;20464391,0;19959757,0;;90,53;11364279,030647999
2009;97,8;37,123534728151;3510000,0;332976484577,619;8150,23527028221;322744327792,305;34,0;52500000,0;20673509,0;20181322,0;;90,691;13890642,540000001
2010;98,8;35,4116929080344;4030000,0;423627422092,49;10260,1313108254;409192468872,686;45,0;57100000,0;20883716,0;20404978,0;1028,0;90,849;18579912,3
2011;99,0;36,7336010953886;4570000,0;530158122010,442;12704,2831819684;515004538945,145;51,0;60700000,0;21099010,0;20631650,0;1404,0;90,99;21282636,6
2012;99,1;36,0094060962792;5150000,0;545982375701,128;12949,717486654;533073608485,977;55,8;64300000,0;21307318,0;20854403,0;2643,0;91,121;23526240,317999996
2013;99,3;37,7742434286561;6250000,0;552025140252,246;12963,675773326;540185748561,537;59,9;67400000,0;21507070,0;21075385,0;3117,0;91,249;25506890,544999998
2014;100,0;37,8890306827603;6520000,0;526319673731,638;12233,1444119186;515532241212,846;64,7;61200000,0;21718370,0;21305701,0;3837,0;91,377;27836573,937
2015;99,7;34,6070879381284;6860000,0;594749285413,212;13679,6264980954;583615452086,538;68,0431;61800000,0;21939310,0;21537702,0;5317,0;91,503;29583106,752172
2016;99,9;31,1844168936905;7250000,0;557532320662,955;12699,9623137756;545251641127,714;70,969;63700000,0;22147408,0;21752905,0;32040,0;91,627;31155613,132969998
2017;100,0;31,0602244637248;7840000,0;643628393281,364;14532,5009308511;627200463933,824;74,2949;61900000,0;22335741,0;21953153,0;71731,0;91,749;32904389,508406
2018;100,0;31,8508155232312;8470000,0;524819892360,176;11752,7998922979;506094045059,703;77,7;58600000,0;22512096,0;22142786,0;83320,0;91,87;34696843,314
2019;100,0;36,6013440563774;8790000,0;447754683615,225;9955,97478680428;430166792070,565;79,947;56400000,0;22665751,0;22307714,0;135647,0;91,991;35954936,06355
2020;100,0;53,4880928697146;9570000,0;385740508436,965;8535,59938004389;375344057341,93;85,5144;54800000,0;22772481,0;22419484,0;167248,0;92,111;38645637,71795999
2021;100,0;57,1397786115897;10500000,0;486564085480,036;10738,0179223384;476802271007,631;87,1507;59100000,0;22834166,0;22478115,0;231834,0;92,229;39489970,077467
2022;100,0;39,2146927934659;11200000,0;632790070063,124;13935,6811110049;621165221747,635;88,3754;59700000,0;22880775,0;22527129,0;240087,0;92,347;40129416,791616
2023;;39,235453010014;11500000,0;646075277525,125;14187,4827252965;632729881149,353;89,229;62700000,0;22941417,0;22596984,0;248239,0;92,463;40633459,82829
